Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	3	30928.1	29345	699.455	2.52	0	494.352	2	11057	0.565842	0.0699188	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	569	1	0	0	0	0	46	0	0	300		0.0	300.0	346.0	LINESTRING(446.000000 251.770000,436.370000 239.970000)
0	1	569	1067	1	0	0	0	0	89	0	0	0	Straight	0.0	346.0	435.0	LINESTRING(436.370000 239.970000,425.980000 228.310000)
0	2	1067	2076	1	0	0	0	0	18	0	0	0	Straight	0.0	435.0	453.0	LINESTRING(425.980000 228.310000,421.380000 216.000000)
0	3	2076	748	1	0	0	0	0	46	0	0	0	Straight	0.0	453.0	499.0	LINESTRING(421.380000 216.000000,414.920000 205.040000)
0	4	748	1811	1	0	0	0	0	55	0	0	0	Straight	0.0	499.0	554.0	LINESTRING(414.920000 205.040000,409.560000 191.890000)
0	5	1811	1539	1	0	0	0	0	72	0	0	0	Straight	0.0	554.0	626.0	LINESTRING(409.560000 191.890000,403.410000 177.350000)
0	6	1539	941	1	1	399	399	0	72	462	0	0	Straight	0.0	626.0	698.0	LINESTRING(403.410000 177.350000,396.730000 164.430000)
0	7	941	986	1	1	167	167	0	30	190	0	0	Straight	0.0	698.0	728.0	LINESTRING(396.730000 164.430000,390.340000 153.060000)
0	8	986	1015	1	1	404	404	0	73	473	0	0	Straight	0.0	728.0	801.0	LINESTRING(390.340000 153.060000,380.290000 147.690000)
0	9	1015	1054	1	1	404	404	0	73	473	0	0	Straight	0.0	801.0	874.0	LINESTRING(380.290000 147.690000,372.230000 140.100000)
