Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	30032	27999	99.0519	0	0.467359	972.77	4	16872	1.32999	0.104878	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	569	1	0	0	0	0	46	0	0	300		0.0	300.0	346.0	LINESTRING(446.000000 251.770000,436.370000 239.970000)
0	1	569	570	1	1	72	72	0	13	83	1	0	Left	11.389	357.389	440.389	LINESTRING(436.370000 239.970000,439.260000 236.980000)
0	2	570	569	1	1	72	72	0	13	83	0	0	U	45.557	485.946	498.946	LINESTRING(439.260000 236.980000,436.370000 239.970000)
0	3	569	1067	1	0	0	0	0	89	0	0	0	Left	11.389	510.335	599.335	LINESTRING(436.370000 239.970000,425.980000 228.310000)
0	4	1067	1503	1	1	85	85	0	15	95	1	0	Straight	0.0	599.335	694.335	LINESTRING(425.980000 228.310000,415.510000 226.670000)
0	5	1503	719	1	1	261	261	0	47	307	1	0	Left	11.389	705.724	1012.72	LINESTRING(415.510000 226.670000,411.900000 211.890000)
0	6	719	1186	1	1	302	302	0	54	354	1	0	Straight	0.0	1012.72	1366.72	LINESTRING(411.900000 211.890000,407.330000 198.350000)
0	7	1186	1187	1	1	402	402	0	72	472	1	0	Straight	0.0	1366.72	1838.72	LINESTRING(407.330000 198.350000,403.160000 186.160000)
0	8	1187	1539	1	1	182	182	0	33	213	1	0	Straight	0.0	1838.72	2051.72	LINESTRING(403.160000 186.160000,403.410000 177.350000)
0	9	1539	941	1	1	399	399	0	72	462	1	0	Straight	0.0	2051.72	2513.72	LINESTRING(403.410000 177.350000,396.730000 164.430000)
0	10	941	986	1	1	167	167	0	30	190	1	0	Straight	0.0	2513.72	2703.72	LINESTRING(396.730000 164.430000,390.340000 153.060000)
0	11	986	1015	1	1	404	404	0	73	473	1	0	Straight	0.0	2703.72	3176.72	LINESTRING(390.340000 153.060000,380.290000 147.690000)
0	12	1015	1054	1	1	404	404	0	73	473	1	0	Straight	0.0	3176.72	3649.72	LINESTRING(380.290000 147.690000,372.230000 140.100000)
0	13	1054	1076	1	1	254	254	0	46	296	1	0	Straight	0.0	3649.72	3945.72	LINESTRING(372.230000 140.100000,369.890000 131.100000)
0	14	1076	1273	1	1	89	89	0	16	96	1	0	Straight	0.0	3945.72	4041.72	LINESTRING(369.890000 131.100000,371.200000 121.100000)
0	15	1273	1514	1	1	53	53	0	9	59	1	0	Straight	0.0	4041.72	4100.72	LINESTRING(371.200000 121.100000,368.660000 110.160000)
0	16	1514	1278	1	1	29	29	0	5	25	1	0	Right	5.695	4106.42	4131.42	LINESTRING(368.660000 110.160000,361.350000 112.380000)
0	17	1278	1277	1	1	29	29	0	5	25	1	0	Straight	0.0	4131.42	4156.42	LINESTRING(361.350000 112.380000,354.820000 117.900000)
0	18	1277	1564	1	1	254	254	0	46	296	1	0	Straight	0.0	4156.42	4452.42	LINESTRING(354.820000 117.900000,344.690000 128.810000)
0	19	1564	1795	1	1	19	19	0	3	13	1	0	Left	11.389	4463.81	4476.81	LINESTRING(344.690000 128.810000,339.810000 123.590000)
0	20	1795	1175	1	1	102	102	0	18	118	1	0	Straight	0.0	4476.81	4594.81	LINESTRING(339.810000 123.590000,336.790000 106.480000)
0	21	1175	1176	1	1	400	400	0	72	472	1	0	Straight	0.0	4594.81	5066.81	LINESTRING(336.790000 106.480000,332.850000 93.074000)
