Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	28537.4	25952	98.9728	0	0.0857379	825.7	1.11111	20323	1.16688	0.159008	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	1391	0	0	0	0	0	48	0	0	0	Left	11.389	433.389	481.389	LINESTRING(363.030000 281.580000,346.570000 269.480000)
0	5	1391	1069	1	1	105	105	0	19	119	1	0	Straight	0.0	481.389	600.389	LINESTRING(346.570000 269.480000,333.430000 264.720000)
0	6	1069	1068	1	1	229	229	0	41	261	1	0	Left	11.389	611.778	872.778	LINESTRING(333.430000 264.720000,332.410000 260.690000)
0	7	1068	1069	1	1	229	229	0	41	261	0	0	U	45.557	918.335	959.335	LINESTRING(332.410000 260.690000,333.430000 264.720000)
0	8	1069	1109	1	1	299	299	0	54	344	1	0	Left	11.389	970.724	1314.72	LINESTRING(333.430000 264.720000,320.190000 261.390000)
0	9	1109	1165	1	1	402	402	0	72	472	1	0	Straight	0.0	1314.72	1786.72	LINESTRING(320.190000 261.390000,308.530000 252.270000)
0	10	1165	882	1	1	394	394	0	71	461	1	0	Straight	0.0	1786.72	2247.72	LINESTRING(308.530000 252.270000,301.300000 238.560000)
0	11	882	891	0	1	131	131	0	24	154	1	0	Right	5.695	2253.42	2407.42	LINESTRING(301.300000 238.560000,288.250000 240.990000)
0	12	891	865	0	1	53	53	0	10	60	1	0	Right	5.695	2413.11	2473.11	LINESTRING(288.250000 240.990000,282.070000 250.830000)
0	13	865	1920	0	0	0	0	0	13	0	0	0	Left	11.389	2484.5	2497.5	LINESTRING(282.070000 250.830000,268.080000 250.660000)
0	14	1920	871	1	1	11	11	0	2	12	1	0	Left	11.389	2508.89	2520.89	LINESTRING(268.080000 250.660000,263.810000 241.090000)
0	15	871	1624	1	1	272	272	0	49	319	1	0	Straight	0.0	2520.89	2839.89	LINESTRING(263.810000 241.090000,255.910000 231.570000)
0	16	1624	954	1	1	223	223	0	40	260	1	0	Straight	0.0	2839.89	3099.89	LINESTRING(255.910000 231.570000,248.510000 223.000000)
0	17	954	1233	1	1	275	275	0	50	320	1	0	Straight	0.0	3099.89	3419.89	LINESTRING(248.510000 223.000000,245.070000 212.480000)
0	18	1233	1012	1	1	271	271	0	49	319	1	0	Straight	0.0	3419.89	3738.89	LINESTRING(245.070000 212.480000,243.760000 201.810000)
0	19	1012	1496	1	1	147	147	0	26	166	1	0	Right	5.695	3744.59	3910.59	LINESTRING(243.760000 201.810000,237.780000 198.890000)
0	20	1496	1497	1	1	142	142	0	26	166	1	0	Straight	0.0	3910.59	4076.59	LINESTRING(237.780000 198.890000,235.870000 193.900000)
0	21	1497	1496	1	1	142	142	0	26	166	0	0	U	45.557	4122.14	4148.14	LINESTRING(235.870000 193.900000,237.780000 198.890000)
0	22	1496	1019	1	1	119	119	0	21	131	1	0	Left	11.389	4159.53	4290.53	LINESTRING(237.780000 198.890000,233.400000 202.790000)
0	23	1019	1441	1	1	148	148	0	27	167	1	0	Left	11.389	4301.92	4468.92	LINESTRING(233.400000 202.790000,229.570000 199.210000)
0	24	1441	1019	1	1	148	148	0	27	167	0	0	U	45.557	4514.48	4541.48	LINESTRING(229.570000 199.210000,233.400000 202.790000)
0	25	1019	1013	1	1	143	143	0	26	166	1	0	Straight	0.0	4541.48	4707.48	LINESTRING(233.400000 202.790000,234.510000 210.040000)
0	26	1013	1007	1	1	147	147	0	26	166	1	0	Left	11.389	4718.87	4884.87	LINESTRING(234.510000 210.040000,224.770000 215.700000)
0	27	1007	1816	1	1	268	268	0	48	308	1	0	Left	11.389	4896.26	5204.26	LINESTRING(224.770000 215.700000,221.040000 212.870000)
0	28	1816	1007	1	1	268	268	0	48	308	0	0	U	45.557	5249.81	5297.81	LINESTRING(221.040000 212.870000,224.770000 215.700000)
0	29	1007	1235	1	1	148	148	0	27	167	1	0	U	45.557	5343.37	5510.37	LINESTRING(224.770000 215.700000,215.100000 211.360000)
0	30	1235	1860	1	1	175	175	0	31	201	1	0	Left	11.389	5521.76	5722.76	LINESTRING(215.100000 211.360000,213.420000 199.840000)
0	31	1860	1400	1	1	46	46	0	8	48	1	0	Straight	0.0	5722.76	5770.76	LINESTRING(213.420000 199.840000,216.320000 189.730000)
0	32	1400	1601	0	1	64	64	0	12	72	1	0	Right	5.695	5776.46	5848.46	LINESTRING(216.320000 189.730000,204.600000 195.120000)
0	33	1601	1243	0	1	63	63	0	11	71	1	0	U	45.557	5894.01	5965.01	LINESTRING(204.600000 195.120000,211.030000 183.280000)
0	34	1243	1244	0	1	77	77	0	14	84	1	0	Straight	0.0	5965.01	6049.01	LINESTRING(211.030000 183.280000,218.330000 172.190000)
0	35	1244	1403	0	1	18	18	0	3	13	1	0	Straight	0.0	6049.01	6062.01	LINESTRING(218.330000 172.190000,220.630000 161.830000)
0	36	1403	1707	0	1	176	176	0	32	202	1	0	Straight	0.0	6062.01	6264.01	LINESTRING(220.630000 161.830000,223.270000 151.880000)
0	37	1707	1694	0	1	40	40	0	7	47	1	0	Right	5.695	6269.71	6316.71	LINESTRING(223.270000 151.880000,220.210000 147.510000)
0	38	1694	1643	0	1	44	44	0	8	48	1	0	U	45.557	6362.26	6410.26	LINESTRING(220.210000 147.510000,220.300000 150.800000)
0	39	1643	1245	0	1	55	55	0	10	60	1	0	Straight	0.0	6410.26	6470.26	LINESTRING(220.300000 150.800000,222.630000 156.430000)
0	40	1245	1246	0	1	27	27	0	5	25	1	0	Straight	0.0	6470.26	6495.26	LINESTRING(222.630000 156.430000,225.280000 162.320000)
0	41	1246	1017	0	1	18	18	0	3	13	1	0	Straight	0.0	6495.26	6508.26	LINESTRING(225.280000 162.320000,228.980000 171.410000)
0	42	1017	1018	0	1	18	18	0	3	13	1	0	Straight	0.0	6508.26	6521.26	LINESTRING(228.980000 171.410000,228.210000 179.390000)
0	43	1018	1400	0	1	64	64	0	12	72	1	0	Straight	0.0	6521.26	6593.26	LINESTRING(228.210000 179.390000,216.320000 189.730000)
0	44	1400	1860	1	1	46	46	0	8	48	0	0	Straight	0.0	6593.26	6601.26	LINESTRING(216.320000 189.730000,213.420000 199.840000)
0	45	1860	1011	1	1	16	16	0	3	13	1	0	Left	11.389	6612.65	6625.65	LINESTRING(213.420000 199.840000,207.200000 197.120000)
0	46	1011	1240	1	1	21	21	0	4	24	1	0	Straight	0.0	6625.65	6649.65	LINESTRING(207.200000 197.120000,202.810000 192.650000)
0	47	1240	1011	1	1	21	21	0	4	24	0	0	U	45.557	6695.21	6699.21	LINESTRING(202.810000 192.650000,207.200000 197.120000)
0	48	1011	1010	1	1	13	13	0	2	12	1	0	Left	11.389	6710.6	6722.6	LINESTRING(207.200000 197.120000,203.160000 199.160000)
0	49	1010	1011	1	1	13	13	0	2	12	0	0	U	45.557	6768.16	6770.16	LINESTRING(203.160000 199.160000,207.200000 197.120000)
0	50	1011	1860	1	1	16	16	0	3	13	0	0	Left	11.389	6781.55	6784.55	LINESTRING(207.200000 197.120000,213.420000 199.840000)
0	51	1860	1400	1	1	46	46	0	8	48	0	0	Right	5.695	6790.24	6798.24	LINESTRING(213.420000 199.840000,216.320000 189.730000)
0	52	1400	1601	0	1	64	64	0	12	72	0	0	Right	5.695	6803.93	6815.93	LINESTRING(216.320000 189.730000,204.600000 195.120000)
0	53	1601	1706	1	1	247	247	0	45	285	1	0	Straight	0.0	6815.93	7100.93	LINESTRING(204.600000 195.120000,191.750000 207.860000)
0	54	1706	1705	1	1	71	71	0	13	83	1	0	Right	5.695	7106.63	7189.63	LINESTRING(191.750000 207.860000,197.460000 218.890000)
0	55	1705	1232	1	1	138	138	0	25	155	1	0	Right	5.695	7195.32	7350.32	LINESTRING(197.460000 218.890000,208.640000 219.940000)
0	56	1232	1235	1	1	105	105	0	19	119	1	0	Right	5.695	7356.02	7475.02	LINESTRING(208.640000 219.940000,215.100000 211.360000)
0	57	1235	1232	1	1	105	105	0	19	119	0	0	U	45.557	7520.58	7539.58	LINESTRING(215.100000 211.360000,208.640000 219.940000)
0	58	1232	1224	1	1	165	165	0	30	190	1	0	Right	5.695	7545.27	7735.27	LINESTRING(208.640000 219.940000,214.880000 229.920000)
0	59	1224	1006	1	1	147	147	0	26	166	1	0	Right	5.695	7740.97	7906.97	LINESTRING(214.880000 229.920000,225.930000 226.770000)
0	60	1006	1007	1	1	274	274	0	49	319	1	0	Right	5.695	7912.66	8231.66	LINESTRING(225.930000 226.770000,224.770000 215.700000)
0	61	1007	1013	1	1	147	147	0	26	166	0	0	Left	11.389	8243.05	8269.05	LINESTRING(224.770000 215.700000,234.510000 210.040000)
0	62	1013	1012	1	1	120	120	0	22	142	1	0	Straight	0.0	8269.05	8411.05	LINESTRING(234.510000 210.040000,243.760000 201.810000)
