Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	32994	27977	99.5831	0	0.241723	907.47	2.5	16225	0.469462	0.196647	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	LINESTRING(363.030000 281.580000,341.470000 281.280000)
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	LINESTRING(341.470000 281.280000,320.190000 279.470000)
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	LINESTRING(320.190000 279.470000,307.380000 288.170000)
0	7	594	982	1	1	153	153	0	27	177	1	0	Right	5.695	513.695	690.695	LINESTRING(307.380000 288.170000,316.170000 291.650000)
0	8	982	565	1	0	0	0	0	27	0	0	0	Left	11.389	702.084	729.084	LINESTRING(316.170000 291.650000,309.130000 297.040000)
0	9	565	564	1	1	151	151	0	27	177	1	0	Straight	0.0	729.084	906.084	LINESTRING(309.130000 297.040000,297.850000 297.270000)
0	10	564	621	1	1	296	296	0	53	343	1	0	Straight	0.0	906.084	1249.08	LINESTRING(297.850000 297.270000,286.130000 294.790000)
0	11	621	687	1	1	271	271	0	49	319	1	0	Straight	0.0	1249.08	1568.08	LINESTRING(286.130000 294.790000,276.650000 288.350000)
0	12	687	782	1	1	141	141	0	25	165	1	0	Straight	0.0	1568.08	1733.08	LINESTRING(276.650000 288.350000,268.860000 278.210000)
0	13	782	783	1	1	261	261	0	47	307	1	0	Straight	0.0	1733.08	2040.08	LINESTRING(268.860000 278.210000,255.740000 271.980000)
0	14	783	842	1	1	394	394	0	71	461	1	0	Straight	0.0	2040.08	2501.08	LINESTRING(255.740000 271.980000,241.880000 266.400000)
0	15	842	1171	1	1	11	11	0	2	12	1	0	Straight	0.0	2501.08	2513.08	LINESTRING(241.880000 266.400000,233.020000 254.180000)
0	16	1171	1227	1	1	495	495	0	89	579	1	0	Straight	0.0	2513.08	3092.08	LINESTRING(233.020000 254.180000,227.120000 239.270000)
0	17	1227	1006	1	1	274	274	0	49	319	1	0	Straight	0.0	3092.08	3411.08	LINESTRING(227.120000 239.270000,225.930000 226.770000)
0	18	1006	1231	1	1	148	148	0	27	167	1	0	Left	11.389	3422.47	3589.47	LINESTRING(225.930000 226.770000,235.820000 219.980000)
0	19	1231	1013	1	1	272	272	0	49	319	1	0	Right	5.695	3595.17	3914.17	LINESTRING(235.820000 219.980000,234.510000 210.040000)
0	20	1013	1012	1	0	0	0	0	22	0	0	0	Left	11.389	3925.56	3947.56	LINESTRING(234.510000 210.040000,243.760000 201.810000)
0	21	1012	1016	1	0	0	0	0	21	0	0	0	Straight	0.0	3947.56	3968.56	LINESTRING(243.760000 201.810000,253.150000 189.690000)
0	22	1016	1234	1	1	272	272	0	49	319	1	0	U	45.557	4014.11	4333.11	LINESTRING(253.150000 189.690000,252.750000 204.370000)
0	23	1234	1233	1	1	121	121	0	22	142	1	0	Straight	0.0	4333.11	4475.11	LINESTRING(252.750000 204.370000,245.070000 212.480000)
0	24	1233	1231	1	1	120	120	0	22	142	1	0	Straight	0.0	4475.11	4617.11	LINESTRING(245.070000 212.480000,235.820000 219.980000)
0	25	1231	1230	1	1	277	277	0	50	320	1	0	Right	5.695	4622.81	4942.81	LINESTRING(235.820000 219.980000,238.990000 230.500000)
0	26	1230	1227	1	1	148	148	0	27	167	1	0	Left	11.389	4954.2	5121.2	LINESTRING(238.990000 230.500000,227.120000 239.270000)
0	27	1227	1217	1	1	146	146	0	26	166	1	0	Straight	0.0	5121.2	5287.2	LINESTRING(227.120000 239.270000,211.350000 242.060000)
0	28	1217	1224	1	1	276	276	0	50	320	1	0	Left	11.389	5298.59	5618.59	LINESTRING(211.350000 242.060000,214.880000 229.920000)
0	29	1224	1217	1	1	276	276	0	50	320	0	0	U	45.557	5664.14	5714.14	LINESTRING(214.880000 229.920000,211.350000 242.060000)
0	30	1217	1214	1	1	136	136	0	24	154	1	0	Left	11.389	5725.53	5879.53	LINESTRING(211.350000 242.060000,193.430000 229.870000)
0	31	1214	1705	1	1	438	438	0	79	509	1	0	Left	11.389	5890.92	6399.92	LINESTRING(193.430000 229.870000,197.460000 218.890000)
0	32	1705	1706	1	0	0	0	0	13	0	0	0	Right	5.695	6405.62	6418.62	LINESTRING(197.460000 218.890000,191.750000 207.860000)
0	33	1706	1965	1	1	181	181	0	33	213	1	0	Right	5.695	6424.31	6637.31	LINESTRING(191.750000 207.860000,175.230000 213.720000)
0	34	1965	1216	1	1	221	221	0	40	260	1	0	Straight	0.0	6637.31	6897.31	LINESTRING(175.230000 213.720000,158.300000 218.990000)
0	35	1216	899	1	1	395	395	0	71	461	1	0	Straight	0.0	6897.31	7358.31	LINESTRING(158.300000 218.990000,135.180000 219.360000)
0	36	899	896	1	1	113	113	0	20	130	1	0	Straight	0.0	7358.31	7488.31	LINESTRING(135.180000 219.360000,118.090000 217.430000)
0	37	896	1206	1	1	278	278	0	50	320	1	0	Straight	0.0	7488.31	7808.31	LINESTRING(118.090000 217.430000,101.540000 217.960000)
0	38	1206	1198	1	1	88	88	0	16	96	1	0	Straight	0.0	7808.31	7904.31	LINESTRING(101.540000 217.960000,85.944000 219.190000)
0	39	1198	1197	1	1	72	72	0	13	83	1	0	Left	11.389	7915.7	7998.7	LINESTRING(85.944000 219.190000,81.545000 215.370000)
0	40	1197	1198	1	1	72	72	0	13	83	0	0	U	45.557	8044.26	8057.26	LINESTRING(81.545000 215.370000,85.944000 219.190000)
0	41	1198	1724	1	1	665	665	0	120	780	1	0	Left	11.389	8068.65	8848.65	LINESTRING(85.944000 219.190000,72.277000 223.470000)
0	42	1724	751	1	1	30	30	0	5	35	1	0	Left	11.389	8860.04	8895.04	LINESTRING(72.277000 223.470000,61.209000 215.610000)
0	43	751	752	1	1	100	100	0	18	118	1	0	Straight	0.0	8895.04	9013.04	LINESTRING(61.209000 215.610000,51.740000 208.870000)
0	44	752	1389	1	1	74	74	0	13	83	1	0	Straight	0.0	9013.04	9096.04	LINESTRING(51.740000 208.870000,44.645000 203.170000)
0	45	1389	1809	1	1	79	79	0	14	84	1	0	Straight	0.0	9096.04	9180.04	LINESTRING(44.645000 203.170000,38.753000 201.220000)
0	46	1809	1389	1	1	79	79	0	14	84	0	0	U	45.557	9225.59	9239.59	LINESTRING(38.753000 201.220000,44.645000 203.170000)
0	47	1389	1390	1	1	42	42	0	7	47	1	0	U	45.557	9285.15	9332.15	LINESTRING(44.645000 203.170000,42.276000 198.460000)
0	48	1390	1389	1	1	42	42	0	7	47	0	0	U	45.557	9377.71	9384.71	LINESTRING(42.276000 198.460000,44.645000 203.170000)
0	49	1389	752	1	1	74	74	0	13	83	0	0	Straight	0.0	9384.71	9397.71	LINESTRING(44.645000 203.170000,51.740000 208.870000)
0	50	752	2161	1	1	19	19	0	3	13	1	0	U	45.557	9443.26	9456.26	LINESTRING(51.740000 208.870000,47.125000 206.660000)
0	51	2161	752	1	1	19	19	0	3	13	0	0	U	45.557	9501.82	9504.82	LINESTRING(47.125000 206.660000,51.740000 208.870000)
0	52	752	751	1	1	100	100	0	18	118	0	0	Straight	0.0	9504.82	9522.82	LINESTRING(51.740000 208.870000,61.209000 215.610000)
0	53	751	2166	1	1	49	49	0	9	49	1	0	U	45.557	9568.38	9617.38	LINESTRING(61.209000 215.610000,56.788000 212.640000)
0	54	2166	751	1	1	49	49	0	9	49	0	0	U	45.557	9662.94	9671.94	LINESTRING(56.788000 212.640000,61.209000 215.610000)
0	55	751	1724	1	1	30	30	0	5	35	0	0	Straight	0.0	9671.94	9676.94	LINESTRING(61.209000 215.610000,72.277000 223.470000)
0	56	1724	745	1	1	85	85	0	15	95	1	0	Left	11.389	9688.32	9783.32	LINESTRING(72.277000 223.470000,70.358000 236.790000)
0	57	745	744	1	1	66	66	0	12	72	1	0	Left	11.389	9794.71	9866.71	LINESTRING(70.358000 236.790000,59.346000 233.600000)
0	58	744	1592	1	1	112	112	0	20	130	1	0	Straight	0.0	9866.71	9996.71	LINESTRING(59.346000 233.600000,50.269000 231.220000)
0	59	1592	1723	1	1	205	205	0	37	237	1	0	Straight	0.0	9996.71	10233.7	LINESTRING(50.269000 231.220000,44.492000 231.640000)
0	60	1723	1592	1	1	205	205	0	37	237	0	0	U	45.557	10279.3	10316.3	LINESTRING(44.492000 231.640000,50.269000 231.220000)
0	61	1592	2156	1	1	91	91	0	16	106	1	0	U	45.557	10361.8	10467.8	LINESTRING(50.269000 231.220000,45.066000 227.940000)
0	62	2156	1592	1	1	91	91	0	16	106	0	0	U	45.557	10513.4	10529.4	LINESTRING(45.066000 227.940000,50.269000 231.220000)
