Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29214.6	26726	381.677	3.201	1.08333	0.0804604	885.608	22667	0.159008	0.377903	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	1043	1	0	0	0	0	53	0	0	0	Straight	0.0	508.0	561.0	307.38 288.17,294.74 287.29
0	8	1043	621	1	1	147	147	0	26	166	0	0	Right	5.695	566.695	592.695	294.74 287.29,286.13 294.79
0	9	621	622	1	1	146	146	0	26	166	0	0	Straight	0.0	592.695	618.695	286.13 294.79,276.78 304.6
0	10	622	1483	1	1	139	139	0	25	155	0	0	Straight	0.0	618.695	643.695	276.78 304.6,266.84 314.48
0	11	1483	648	1	1	132	132	0	24	154	0	0	Straight	0.0	643.695	667.695	266.84 314.48,255.65 321.78
0	12	648	969	1	0	0	0	0	54	0	0	0	Right	5.695	673.39	727.39	255.65 321.78,267.88 330.78
0	13	969	506	1	0	0	0	0	43	0	0	0	Left	11.389	738.779	781.779	267.88 330.78,262.85 344.55
0	14	506	478	1	1	140	140	0	25	165	0	0	Straight	0.0	781.779	806.779	262.85 344.55,250.63 358.81
0	15	478	477	1	1	339	339	0	61	391	0	0	Straight	0.0	806.779	867.779	250.63 358.81,247.76 376.52
0	16	477	425	0	1	21	21	0	4	24	0	0	Straight	0.0	867.779	871.779	247.76 376.52,252.31 386.31
0	17	425	424	0	1	110	110	0	20	130	0	0	Straight	0.0	871.779	891.779	252.31 386.31,257.75 396.33
0	18	424	408	0	0	0	0	0	2	0	0	0	Straight	0.0	891.779	893.779	257.75 396.33,259.57 409.9
0	19	408	1526	0	1	395	395	0	71	461	0	0	Straight	0.0	893.779	964.779	259.57 409.9,253.73 426.6
0	20	1526	312	0	1	375	375	0	67	437	0	0	Straight	0.0	964.779	1031.78	253.73 426.6,254.45 442.65
0	21	312	310	0	0	0	0	0	4	0	0	0	Straight	0.0	1031.78	1035.78	254.45 442.65,257.18 455.6
0	22	310	311	0	1	285	285	0	51	331	1	0	Straight	0.0	1035.78	1366.78	257.18 455.6,261.6 470.86
0	23	311	1984	0	1	157	157	0	28	178	1	0	Straight	0.0	1366.78	1544.78	261.6 470.86,269.75 485.78
0	24	1984	666	0	1	182	182	0	33	213	1	0	Straight	0.0	1544.78	1757.78	269.75 485.78,283.58 497.1
0	25	666	667	1	1	170	170	0	31	201	1	0	Straight	0.0	1757.78	1958.78	283.58 497.1,299.8 501.29
0	26	667	1990	1	1	68	68	0	12	72	1	0	Right	5.695	1964.47	2036.47	299.8 501.29,301.92 498.59
0	27	1990	667	1	1	68	68	0	12	72	0	0	U	45.557	2082.03	2094.03	301.92 498.59,299.8 501.29
0	28	667	197	1	1	135	135	0	24	154	1	0	Right	5.695	2099.73	2253.73	299.8 501.29,315.84 505.88
0	29	197	624	1	1	87	87	0	16	96	0	0	Right	5.695	2259.42	2275.42	315.84 505.88,322.85 500.7
0	30	624	625	1	1	21	21	0	4	24	1	0	Straight	0.0	2275.42	2299.42	322.85 500.7,329.31 494.42
0	31	625	634	1	1	91	91	0	16	106	1	0	Left	11.389	2310.81	2416.81	329.31 494.42,331.16 497.91
0	32	634	625	1	1	91	91	0	16	106	0	0	U	45.557	2462.37	2478.37	331.16 497.91,329.31 494.42
0	33	625	624	1	1	21	21	0	4	24	0	0	Right	5.695	2484.06	2488.06	329.31 494.42,322.85 500.7
0	34	624	1637	1	1	116	116	0	21	131	1	0	Right	5.695	2493.76	2624.76	322.85 500.7,324.31 504.39
0	35	1637	624	1	1	116	116	0	21	131	0	0	U	45.557	2670.31	2691.31	324.31 504.39,322.85 500.7
0	36	624	197	1	1	87	87	0	16	96	1	0	Right	5.695	2697.01	2793.01	322.85 500.7,315.84 505.88
0	37	197	196	1	1	85	85	0	15	95	1	0	Straight	0.0	2793.01	2888.01	315.84 505.88,307.33 506.22
