Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29736.9	26918	62.608	2.289	1.17507e-06	832.534	1	17049	0.0916656	0.117784	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	LINESTRING(363.030000 281.580000,341.470000 281.280000)
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	LINESTRING(341.470000 281.280000,320.190000 279.470000)
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	LINESTRING(320.190000 279.470000,307.380000 288.170000)
0	7	594	1043	1	1	295	295	0	53	343	0	0	Straight	0.0	508.0	561.0	LINESTRING(307.380000 288.170000,294.740000 287.290000)
0	8	1043	621	1	0	0	0	0	26	0	0	0	Right	5.695	566.695	592.695	LINESTRING(294.740000 287.290000,286.130000 294.790000)
0	9	621	622	1	0	0	0	0	26	0	0	0	Straight	0.0	592.695	618.695	LINESTRING(286.130000 294.790000,276.780000 304.600000)
0	10	622	1483	1	0	0	0	0	25	0	0	0	Straight	0.0	618.695	643.695	LINESTRING(276.780000 304.600000,266.840000 314.480000)
0	11	1483	648	1	0	0	0	0	24	0	0	0	Straight	0.0	643.695	667.695	LINESTRING(266.840000 314.480000,255.650000 321.780000)
0	12	648	969	1	1	301	301	0	54	354	1	0	Right	5.695	673.39	1027.39	LINESTRING(255.650000 321.780000,267.880000 330.780000)
0	13	969	506	1	1	237	237	0	43	273	1	0	Left	11.389	1038.78	1311.78	LINESTRING(267.880000 330.780000,262.850000 344.550000)
0	14	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	1311.78	1336.78	LINESTRING(262.850000 344.550000,250.630000 358.810000)
0	15	478	500	1	1	86	86	0	15	95	1	0	Left	11.389	1348.17	1443.17	LINESTRING(250.630000 358.810000,235.350000 357.540000)
0	16	500	971	1	1	17	17	0	3	13	1	0	Straight	0.0	1443.17	1456.17	LINESTRING(235.350000 357.540000,221.110000 357.760000)
0	17	971	970	1	1	368	368	0	66	426	1	0	Straight	0.0	1456.17	1882.17	LINESTRING(221.110000 357.760000,211.400000 361.910000)
0	18	970	980	1	0	0	0	0	36	0	0	0	Left	11.389	1893.56	1929.56	LINESTRING(211.400000 361.910000,200.540000 354.200000)
0	19	980	1460	1	0	0	0	0	10	0	0	0	Straight	0.0	1929.56	1939.56	LINESTRING(200.540000 354.200000,181.620000 351.410000)
0	20	1460	568	1	0	0	0	0	15	0	0	0	Straight	0.0	1939.56	1954.56	LINESTRING(181.620000 351.410000,166.360000 352.320000)
0	21	568	566	1	0	0	0	0	45	0	0	0	Straight	0.0	1954.56	1999.56	LINESTRING(166.360000 352.320000,153.990000 356.210000)
0	22	566	567	1	1	213	213	0	38	248	1	0	Straight	0.0	1999.56	2247.56	LINESTRING(153.990000 356.210000,144.170000 353.960000)
0	23	567	996	1	1	13	13	0	2	12	1	0	Straight	0.0	2247.56	2259.56	LINESTRING(144.170000 353.960000,135.740000 351.740000)
0	24	996	997	1	1	86	86	0	15	95	1	0	Straight	0.0	2259.56	2354.56	LINESTRING(135.740000 351.740000,130.830000 348.390000)
0	25	997	996	1	1	86	86	0	15	95	0	0	U	45.557	2400.11	2415.11	LINESTRING(130.830000 348.390000,135.740000 351.740000)
0	26	996	1531	1	1	37	37	0	7	37	1	0	Left	11.389	2426.5	2463.5	LINESTRING(135.740000 351.740000,131.980000 353.860000)
0	27	1531	1532	1	1	55	55	0	10	60	1	0	Straight	0.0	2463.5	2523.5	LINESTRING(131.980000 353.860000,126.560000 355.230000)
0	28	1532	1531	1	1	55	55	0	10	60	0	0	U	45.557	2569.06	2579.06	LINESTRING(126.560000 355.230000,131.980000 353.860000)
0	29	1531	1446	1	1	12	12	0	2	12	1	0	Straight	0.0	2579.06	2591.06	LINESTRING(131.980000 353.860000,138.830000 353.430000)
0	30	1446	1447	1	1	109	109	0	20	120	1	0	Right	5.695	2596.75	2716.75	LINESTRING(138.830000 353.430000,140.860000 349.700000)
0	31	1447	1533	1	1	88	88	0	16	96	0	0	Right	5.695	2722.45	2738.45	LINESTRING(140.860000 349.700000,123.440000 351.590000)
0	32	1533	613	1	1	182	182	0	33	213	1	0	Straight	0.0	2738.45	2951.45	LINESTRING(123.440000 351.590000,115.000000 349.770000)
0	33	613	614	1	1	62	62	0	11	71	1	0	Straight	0.0	2951.45	3022.45	LINESTRING(115.000000 349.770000,109.540000 350.200000)
0	34	614	613	1	1	62	62	0	11	71	0	0	U	45.557	3068.01	3079.01	LINESTRING(109.540000 350.200000,115.000000 349.770000)
0	35	613	2196	1	1	85	85	0	15	95	1	0	U	45.557	3124.56	3219.56	LINESTRING(115.000000 349.770000,110.050000 346.640000)
0	36	2196	613	1	1	85	85	0	15	95	0	0	U	45.557	3265.12	3280.12	LINESTRING(110.050000 346.640000,115.000000 349.770000)
0	37	613	1533	1	1	182	182	0	33	213	0	0	Straight	0.0	3280.12	3313.12	LINESTRING(115.000000 349.770000,123.440000 351.590000)
0	38	1533	1034	1	1	67	67	0	12	72	0	0	U	45.557	3358.68	3370.68	LINESTRING(123.440000 351.590000,109.660000 355.530000)
0	39	1034	1033	1	1	32	32	0	6	36	0	0	Straight	0.0	3370.68	3376.68	LINESTRING(109.660000 355.530000,105.380000 358.110000)
0	40	1033	1034	1	1	32	32	0	6	36	1	0	U	45.557	3422.23	3458.23	LINESTRING(105.380000 358.110000,109.660000 355.530000)
0	41	1034	1045	1	1	43	43	0	8	48	0	0	U	45.557	3503.79	3511.79	LINESTRING(109.660000 355.530000,97.621000 358.460000)
0	42	1045	638	1	1	43	43	0	8	48	0	0	Straight	0.0	3511.79	3519.79	LINESTRING(97.621000 358.460000,88.856000 361.580000)
0	43	638	637	1	1	29	29	0	5	25	0	0	Straight	0.0	3519.79	3524.79	LINESTRING(88.856000 361.580000,83.882000 364.560000)
0	44	637	638	1	1	29	29	0	5	25	1	0	U	45.557	3570.35	3595.35	LINESTRING(83.882000 364.560000,88.856000 361.580000)
0	45	638	1534	1	1	18	18	0	3	13	1	0	U	45.557	3640.91	3653.91	LINESTRING(88.856000 361.580000,82.451000 360.880000)
0	46	1534	638	1	1	18	18	0	3	13	0	0	U	45.557	3699.46	3702.46	LINESTRING(82.451000 360.880000,88.856000 361.580000)
0	47	638	1045	1	1	43	43	0	8	48	1	0	Straight	0.0	3702.46	3750.46	LINESTRING(88.856000 361.580000,97.621000 358.460000)
0	48	1045	1044	1	1	39	39	0	7	37	0	0	U	45.557	3796.02	3803.02	LINESTRING(97.621000 358.460000,93.398000 361.200000)
0	49	1044	1045	1	1	39	39	0	7	37	1	0	U	45.557	3848.58	3885.58	LINESTRING(93.398000 361.200000,97.621000 358.460000)
0	50	1045	1824	1	1	29	29	0	5	25	0	0	Right	5.695	3891.27	3896.27	LINESTRING(97.621000 358.460000,92.243000 356.670000)
0	51	1824	1045	1	1	29	29	0	5	25	1	0	U	45.557	3941.83	3966.83	LINESTRING(92.243000 356.670000,97.621000 358.460000)
0	52	1045	1034	1	1	43	43	0	8	48	1	0	Straight	0.0	3966.83	4014.83	LINESTRING(97.621000 358.460000,109.660000 355.530000)
0	53	1034	1533	1	1	67	67	0	12	72	1	0	Straight	0.0	4014.83	4086.83	LINESTRING(109.660000 355.530000,123.440000 351.590000)
0	54	1533	1447	1	1	88	88	0	16	96	1	0	Straight	0.0	4086.83	4182.83	LINESTRING(123.440000 351.590000,140.860000 349.700000)
0	55	1447	623	1	1	241	241	0	43	283	1	0	Straight	0.0	4182.83	4465.83	LINESTRING(140.860000 349.700000,159.170000 347.900000)
0	56	623	659	1	1	207	207	0	37	237	1	0	Straight	0.0	4465.83	4702.83	LINESTRING(159.170000 347.900000,176.130000 344.040000)
0	57	659	658	1	1	12	12	0	2	12	1	0	Right	5.695	4708.52	4720.52	LINESTRING(176.130000 344.040000,166.540000 334.580000)
0	58	658	1071	1	1	52	52	0	9	59	1	0	Straight	0.0	4720.52	4779.52	LINESTRING(166.540000 334.580000,147.170000 324.600000)
0	59	1071	1435	1	1	75	75	0	13	83	1	0	Straight	0.0	4779.52	4862.52	LINESTRING(147.170000 324.600000,128.850000 315.200000)
0	60	1435	1434	1	0	0	0	0	5	0	0	0	Straight	0.0	4862.52	4867.52	LINESTRING(128.850000 315.200000,111.050000 305.750000)
0	61	1434	1917	1	1	50	50	0	9	59	1	0	Right	5.695	4873.22	4932.22	LINESTRING(111.050000 305.750000,104.920000 307.820000)
0	62	1917	2140	1	1	183	183	0	33	213	1	0	Straight	0.0	4932.22	5145.22	LINESTRING(104.920000 307.820000,100.910000 310.760000)
