Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31254.5	27963	102.955	0	1.26667	0.107745	924.198	20816	0.164897	0.605507	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	1043	1	1	295	295	0	53	343	1	0	Straight	0.0	508.0	851.0	307.38 288.17,294.74 287.29
0	8	1043	686	1	0	0	0	0	49	0	0	0	Left	11.389	862.389	911.389	294.74 287.29,289.24 278.95
0	9	686	1105	1	1	144	144	0	26	166	1	0	Straight	0.0	911.389	1077.39	289.24 278.95,277.9 274.38
0	10	1105	803	1	1	257	257	0	46	296	1	0	Straight	0.0	1077.39	1373.39	277.9 274.38,271.48 265.27
0	11	803	812	1	1	189	189	0	34	214	1	0	Left	11.389	1384.78	1598.78	271.48 265.27,291.6 260.1
0	12	812	1165	1	1	186	186	0	33	213	1	0	Straight	0.0	1598.78	1811.78	291.6 260.1,308.53 252.27
0	13	1165	812	1	1	186	186	0	33	213	0	0	U	45.557	1857.34	1890.34	308.53 252.27,291.6 260.1
0	14	812	803	1	1	189	189	0	34	214	0	0	Straight	0.0	1890.34	1924.34	291.6 260.1,271.48 265.27
0	15	803	841	1	1	394	394	0	71	461	1	0	Straight	0.0	1924.34	2385.34	271.48 265.27,257.16 258.42
0	16	841	1180	1	1	11	11	0	2	12	1	0	Straight	0.0	2385.34	2397.34	257.16 258.42,249.53 247.99
0	17	1180	871	0	1	119	119	0	21	131	1	0	Left	11.389	2408.72	2539.72	249.53 247.99,263.81 241.09
0	18	871	870	0	1	123	123	0	22	142	1	0	Straight	0.0	2539.72	2681.72	263.81 241.09,279.26 234.55
0	19	870	883	0	1	131	131	0	24	154	1	0	Straight	0.0	2681.72	2835.72	279.26 234.55,293.17 227.63
0	20	883	1207	0	1	108	108	0	19	119	1	0	Straight	0.0	2835.72	2954.72	293.17 227.63,306.58 215.81
0	21	1207	1208	0	1	12	12	0	2	12	1	0	Straight	0.0	2954.72	2966.72	306.58 215.81,317.74 209.32
0	22	1208	1858	0	0	0	0	0	2	0	0	0	Left	11.389	2978.11	2980.11	317.74 209.32,324.04 228.07
0	23	1858	1471	0	1	12	12	0	2	12	1	0	Left	11.389	2991.5	3003.5	324.04 228.07,313.38 232.02
0	24	1471	882	0	1	106	106	0	19	119	1	0	Straight	0.0	3003.5	3122.5	313.38 232.02,301.3 238.56
0	25	882	883	1	1	12	12	0	2	12	1	0	Left	11.389	3133.89	3145.89	301.3 238.56,293.17 227.63
0	26	883	1218	1	1	237	237	0	43	273	1	0	Straight	0.0	3145.89	3418.89	293.17 227.63,281.27 224.11
0	27	1218	987	1	1	118	118	0	21	131	1	0	Straight	0.0	3418.89	3549.89	281.27 224.11,273.0 218.3
0	28	987	1219	1	1	95	95	0	17	107	1	0	Straight	0.0	3549.89	3656.89	273.0 218.3,266.47 219.1
0	29	1219	918	1	1	134	134	0	24	154	1	0	Right	5.695	3662.59	3816.59	266.47 219.1,262.83 224.21
0	30	918	917	1	1	123	123	0	22	142	1	0	Right	5.695	3822.28	3964.28	262.83 224.21,273.49 227.38
0	31	917	1218	1	1	232	232	0	42	272	1	0	Straight	0.0	3964.28	4236.28	273.49 227.38,281.27 224.11
0	32	1218	987	1	1	118	118	0	21	131	0	0	Right	5.695	4241.98	4262.98	281.27 224.11,273.0 218.3
0	33	987	988	1	1	227	227	0	41	261	1	0	Straight	0.0	4262.98	4523.98	273.0 218.3,267.29 211.95
0	34	988	2106	1	1	79	79	0	14	84	1	0	Right	5.695	4529.67	4613.67	267.29 211.95,262.48 215.09
0	35	2106	953	1	1	133	133	0	24	154	1	0	Straight	0.0	4613.67	4767.67	262.48 215.09,256.06 216.25
0	36	953	954	1	1	121	121	0	22	142	1	0	Straight	0.0	4767.67	4909.67	256.06 216.25,248.51 223.0
