Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	31191.6	26243	398.852	2.097	1	0	790.107	26665.5	0.147229	0.399525	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	984	1	1	19	19	0	3	13	1	0	Left	11.389	494.084	507.084	393.81 293.84,381.85 299.24
0	5	984	558	1	1	40	40	0	7	47	1	0	Straight	0.0	507.084	554.084	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	554.084	564.084	362.77 297.07,347.04 297.52
0	7	554	555	1	0	0	0	0	44	0	0	0	Straight	0.0	564.084	608.084	347.04 297.52,339.96 300.34
0	8	555	1736	1	1	126	126	0	23	143	0	0	U	45.557	653.641	676.641	339.96 300.34,344.08 298.22
0	9	1736	938	1	1	119	119	0	21	131	0	0	Left	11.389	688.03	709.03	344.08 298.22,342.99 305.37
0	10	938	927	1	0	0	0	0	10	0	0	0	Straight	0.0	709.03	719.03	342.99 305.37,339.92 312.44
0	11	927	928	1	0	0	0	0	25	0	0	0	Right	5.695	724.725	749.725	339.92 312.44,343.94 320.38
0	12	928	859	1	0	0	0	0	27	0	0	0	Right	5.695	755.42	782.42	343.94 320.38,356.41 320.63
0	13	859	410	0	1	13	13	0	2	12	1	0	Straight	0.0	782.42	794.42	356.41 320.63,368.25 317.88
0	14	410	1502	0	0	0	0	0	1	0	0	0	Left	11.389	805.809	806.809	368.25 317.88,370.59 321.34
0	15	1502	406	1	1	16	16	0	3	13	1	0	Straight	0.0	806.809	819.809	370.59 321.34,374.93 323.76
0	16	406	407	1	1	122	122	0	22	142	1	0	Straight	0.0	819.809	961.809	374.93 323.76,383.24 325.12
0	17	407	823	1	1	162	162	0	29	189	1	0	Straight	0.0	961.809	1150.81	383.24 325.12,389.04 328.73
0	18	823	847	1	1	170	170	0	31	201	1	0	Right	5.695	1156.5	1357.5	389.04 328.73,387.89 323.58
0	19	847	857	1	1	102	102	0	18	118	1	0	Straight	0.0	1357.5	1475.5	387.89 323.58,388.85 318.87
0	20	857	1998	1	1	97	97	0	17	107	1	0	Left	11.389	1486.89	1593.89	388.85 318.87,397.59 322.51
0	21	1998	833	1	1	142	142	0	26	166	1	0	Left	11.389	1605.28	1771.28	397.59 322.51,398.59 331.53
0	22	833	339	1	1	385	385	0	69	449	1	0	Straight	0.0	1771.28	2220.28	398.59 331.53,401.28 339.6
0	23	339	340	1	1	233	233	0	42	272	1	0	Left	11.389	2231.67	2503.67	401.28 339.6,394.88 344.87
0	24	340	322	1	1	78	78	0	14	84	1	0	Right	5.695	2509.37	2593.37	394.88 344.87,395.85 353.32
0	25	322	323	0	1	9	9	0	2	2	1	0	Right	5.695	2599.06	2601.06	395.85 353.32,402.03 356.81
0	26	323	2026	1	1	124	124	0	22	142	1	0	Straight	0.0	2601.06	2743.06	402.03 356.81,409.28 357.67
0	27	2026	1615	1	1	281	281	0	51	331	1	0	Left	11.389	2754.45	3085.45	409.28 357.67,410.36 364.08
0	28	1615	1614	1	1	96	96	0	17	107	1	0	Left	11.389	3096.84	3203.84	410.36 364.08,405.16 366.34
0	29	1614	1476	1	1	254	254	0	46	296	1	0	Right	5.695	3209.53	3505.53	405.16 366.34,407.46 373.06
0	30	1476	708	1	1	95	95	0	17	107	0	0	Right	5.695	3511.23	3528.23	407.46 373.06,413.76 368.96
0	31	708	728	1	1	157	157	0	28	178	0	0	Straight	0.0	3528.23	3556.23	413.76 368.96,417.04 360.8
0	32	728	764	1	1	175	175	0	32	202	1	0	Straight	0.0	3556.23	3758.23	417.04 360.8,414.17 353.18
0	33	764	763	1	1	139	139	0	25	155	0	0	Straight	0.0	3758.23	3783.23	414.17 353.18,411.75 344.97
0	34	763	1844	1	1	183	183	0	33	213	1	0	Left	11.389	3794.62	4007.62	411.75 344.97,421.33 345.85
0	35	1844	265	1	1	269	269	0	48	308	1	0	Left	11.389	4019.01	4327.01	421.33 345.85,424.43 354.3
0	36	265	729	1	1	40	40	0	7	47	1	0	Straight	0.0	4327.01	4374.01	424.43 354.3,422.9 358.88
0	37	729	263	1	1	38	38	0	7	37	1	0	Right	5.695	4379.7	4416.7	422.9 358.88,424.96 362.34
