Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	29941.5	26855	102.971	0	1.46154	0.549787	884.215	16544.5	0.21201	1.33097	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	514.084	550.084	347.04 297.52,331.4 298.1
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	550.084	601.084	331.4 298.1,316.93 302.6
0	9	957	557	1	0	0	0	0	28	0	0	0	Straight	0.0	601.084	629.084	316.93 302.6,303.93 309.49
0	10	557	1971	1	0	0	0	0	16	0	0	0	Right	5.695	634.779	650.779	303.93 309.49,305.81 320.42
0	11	1971	458	1	0	0	0	0	15	0	0	0	Left	11.389	662.168	677.168	305.81 320.42,292.81 327.99
0	12	458	459	1	0	0	0	0	34	0	0	0	Right	5.695	682.863	716.863	292.81 327.99,290.76 342.77
0	13	459	1678	1	0	0	0	0	11	0	0	0	Right	5.695	722.558	733.558	290.76 342.77,302.47 357.35
0	14	1678	413	1	0	0	0	0	18	0	0	0	Left	11.389	744.947	762.947	302.47 357.35,289.67 363.76
0	15	413	396	1	1	156	156	0	28	178	1	0	Straight	0.0	762.947	940.947	289.67 363.76,284.82 374.87
0	16	396	853	1	1	32	32	0	6	36	0	0	Left	11.389	952.336	958.336	284.82 374.87,281.44 373.17
0	17	853	396	1	1	32	32	0	6	36	1	0	U	45.557	1003.89	1039.89	281.44 373.17,284.82 374.87
0	18	396	395	1	1	154	154	0	28	178	1	0	Left	11.389	1051.28	1229.28	284.82 374.87,280.37 386.23
0	19	395	2009	1	1	165	165	0	30	190	1	0	Left	11.389	1240.67	1430.67	280.37 386.23,276.96 384.58
0	20	2009	395	1	1	165	165	0	30	190	0	0	U	45.557	1476.23	1506.23	276.96 384.58,280.37 386.23
0	21	395	352	1	1	183	183	0	33	213	1	0	Left	11.389	1517.62	1730.62	280.37 386.23,275.86 397.77
0	22	352	353	0	0	0	0	0	21	0	0	0	Right	5.695	1736.31	1757.31	275.86 397.77,291.23 401.78
0	23	353	766	1	0	0	0	0	22	0	0	0	Straight	0.0	1757.31	1779.31	291.23 401.78,312.04 400.61
0	24	766	1898	1	0	0	0	0	22	0	0	0	Straight	0.0	1779.31	1801.31	312.04 400.61,329.66 405.74
0	25	1898	733	1	0	0	0	0	20	0	0	0	Straight	0.0	1801.31	1821.31	329.66 405.74,350.33 407.12
0	26	733	726	1	0	0	0	0	17	0	0	0	Left	11.389	1832.7	1849.7	350.33 407.12,346.48 414.18
0	27	726	723	1	1	99	99	0	18	108	1	0	Right	5.695	1855.4	1963.4	346.48 414.18,352.15 417.81
0	28	723	724	1	1	196	196	0	35	225	1	0	Straight	0.0	1963.4	2188.4	352.15 417.81,360.5 419.09
0	29	724	665	1	1	96	96	0	17	107	1	0	Left	11.389	2199.78	2306.78	360.5 419.09,359.43 425.99
0	30	665	2194	1	1	133	133	0	24	154	1	0	Right	5.695	2312.48	2466.48	359.43 425.99,362.84 429.44
0	31	2194	665	1	1	133	133	0	24	154	0	0	U	45.557	2512.04	2536.04	362.84 429.44,359.43 425.99
0	32	665	630	1	1	370	370	0	67	437	1	0	Right	5.695	2541.73	2978.73	359.43 425.99,353.32 428.7
0	33	630	631	1	0	0	0	0	22	0	0	0	Straight	0.0	2978.73	3000.73	353.32 428.7,345.76 431.23
0	34	631	1522	1	1	53	53	0	10	60	1	0	Left	11.389	3012.12	3072.12	345.76 431.23,342.86 426.93
0	35	1522	1634	1	0	0	0	0	37	0	0	0	Left	11.389	3083.51	3120.51	342.86 426.93,348.4 424.4
0	36	1634	1633	1	0	0	0	0	8	0	0	0	Right	5.695	3126.21	3134.21	348.4 424.4,345.91 419.85
0	37	1633	723	1	1	239	239	0	43	273	1	0	Left	11.389	3145.59	3418.59	345.91 419.85,352.15 417.81
