Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	17600	24000	3	32994.4	27859.4	12.595	0.752	0.0128253	387.461	1	24633.9	0.402263	0.518047	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	438	30	0	0	0	0	0.0	769.6	0.0	0	0		0	0.0	769.6	LINESTRING(-95.453251 30.113294,-95.451767 30.112762,-95.451636 30.112773,-95.451460 30.112816,-95.450718 30.113096,-95.450464 30.113192,-95.449457 30.116066,-95.449474 30.117754,-95.449424 30.119487,-95.449430 30.120085,-95.449436 30.120293,-95.449450 30.120780,-95.449456 30.121588,-95.449459 30.121785,-95.449482 30.122955,-95.449483 30.123047,-95.449487 30.123307,-95.449492 30.123812,-95.449493 30.123894,-95.449498 30.124374,-95.449504 30.124687,-95.449509 30.125372,-95.449514 30.125824,-95.449515 30.125952,-95.449516 30.126040,-95.449518 30.126167,-95.449519 30.126339,-95.449526 30.126640,-95.449527 30.126770,-95.449756 30.126770,-95.449970 30.126771,-95.450346 30.126772,-95.450601 30.126772,-95.450904 30.126771,-95.451043 30.126771,-95.451196 30.126770,-95.451444 30.126769,-95.451557 30.126769,-95.451878 30.126772,-95.452211 30.126784,-95.452620 30.126813,-95.453148 30.126892,-95.453531 30.126972,-95.453813 30.127047,-95.454313 30.127213,-95.454678 30.127383,-95.454851 30.127464,-95.455306 30.127711,-95.455443 30.127798,-95.455543 30.127864,-95.455596 30.127897,-95.455751 30.128013,-95.456068 30.128283,-95.456171 30.128367,-95.456328 30.128507,-95.456461 30.128625,-95.456588 30.128736,-95.456725 30.128863,-95.457067 30.129178,-95.457221 30.129323,-95.457297 30.129397,-95.457371 30.129465,-95.457437 30.129527,-95.457520 30.129605,-95.457578 30.129657,-95.457686 30.129757,-95.457766 30.129833,-95.457914 30.129971,-95.458402 30.130428,-95.458454 30.130480,-95.458596 30.130616,-95.458727 30.130744,-95.458936 30.130951,-95.459238 30.131246,-95.459565 30.131563,-95.459822 30.131806,-95.459950 30.131929,-95.461122 30.133067,-95.461320 30.133249,-95.462331 30.134159,-95.462600 30.134424,-95.462804 30.134628,-95.462911 30.134738,-95.463106 30.134931,-95.463366 30.135159,-95.463625 30.135407,-95.464912 30.136636,-95.464973 30.136695,-95.465095 30.136822,-95.465133 30.136864,-95.465280 30.137026,-95.466889 30.139518,-95.467034 30.139868,-95.467128 30.140063,-95.467212 30.140236,-95.467328 30.140475,-95.467480 30.140830,-95.467524 30.140942,-95.467624 30.141186,-95.467682 30.141317,-95.467781 30.141562,-95.467890 30.141843,-95.467963 30.142040,-95.468057 30.142251,-95.468514 30.143214,-95.469087 30.144380,-95.469208 30.144607,-95.469949 30.145745,-95.470881 30.147161,-95.471692 30.148399,-95.471851 30.148634,-95.471929 30.148757,-95.471971 30.148819,-95.472074 30.148972,-95.472161 30.149114,-95.472297 30.149324,-95.472399 30.149480,-95.472488 30.149617,-95.472662 30.149934,-95.473181 30.151075,-95.473234 30.151271,-95.473360 30.151893,-95.473411 30.152268,-95.473446 30.152969,-95.473347 30.154038,-95.473325 30.154120,-95.473260 30.154395,-95.473175 30.154729,-95.473103 30.154938,-95.472954 30.155310,-95.472883 30.155445,-95.472834 30.155543,-95.472814 30.155596,-95.472576 30.156008,-95.472839 30.156035,-95.473282 30.156088,-95.474785 30.155772,-95.475313 30.155564,-95.476446 30.155236,-95.476769 30.155161,-95.477074 30.155089,-95.477630 30.154943,-95.477914 30.154892,-95.478383 30.154802,-95.479014 30.154704,-95.479714 30.154600,-95.479871 30.154577,-95.482760 30.154419,-95.489214 30.156353,-95.490310 30.156872,-95.490871 30.157134,-95.491109 30.157243,-95.491539 30.157440,-95.491972 30.157645,-95.492350 30.157817,-95.492534 30.157889,-95.494130 30.158646,-95.497511 30.160206,-95.497543 30.160222,-95.498297 30.160630,-95.501980 30.163487,-95.502960 30.164337,-95.503248 30.164607,-95.503420 30.164788,-95.503739 30.165143,-95.503875 30.165302,-95.503961 30.165399,-95.504480 30.165992,-95.504752 30.166289,-95.505181 30.166758,-95.505225 30.166811,-95.505553 30.167163)
0	1	30	43	0	0	0	0	0.0	1.6	0.0	0	0	Straight	0	769.6	771.2	LINESTRING(-95.505553 30.167163,-95.505675 30.167309)
0	2	43	365	0	0	0	0	0.0	1.3	0.0	0	0	Straight	0	771.2	772.5	LINESTRING(-95.505675 30.167309,-95.505779 30.167425)
0	3	365	370	0	0	0	0	0.0	2.6	0.0	0	0	Straight	0	772.5	775.1	LINESTRING(-95.505779 30.167425,-95.505961 30.167628)
0	4	370	404	0	0	0	0	0.0	7.4	0.0	0	0	Straight	0	775.1	782.5	LINESTRING(-95.505961 30.167628,-95.506327 30.168036)
0	5	404	290	0	0	0	0	0.0	4.2	0.0	0	0	Straight	0	782.5	786.7	LINESTRING(-95.506327 30.168036,-95.506348 30.168060,-95.506442 30.168171)
0	6	290	187	0	0	0	0	0.0	11.1	0.0	0	0	Straight	0	786.7	797.8	LINESTRING(-95.506442 30.168171,-95.506635 30.168426)
0	7	187	188	0	0	0	0	0.0	1.5	0.0	0	0	Straight	0	797.8	799.3	LINESTRING(-95.506635 30.168426,-95.506686 30.168500,-95.506734 30.168565)
0	8	188	189	0	0	0	0	0.0	1.9	0.0	0	0	Straight	0	799.3	801.2	LINESTRING(-95.506734 30.168565,-95.506886 30.168769)
0	9	189	26	0	0	0	0	0.0	1.4	0.0	0	0	Straight	0	801.2	802.6	LINESTRING(-95.506886 30.168769,-95.507010 30.168922)
0	10	26	212	0	0	0	0	0.0	9.1	0.0	0	0	Straight	0	802.6	811.7	LINESTRING(-95.507010 30.168922,-95.507440 30.169456,-95.507619 30.169699,-95.508005 30.170125)
0	11	212	134	0	0	0	0	0.0	54.7	0.0	0	0	Straight	0	811.7	866.4	LINESTRING(-95.508005 30.170125,-95.508290 30.170447,-95.508500 30.170629,-95.508866 30.170939,-95.509150 30.171179,-95.509317 30.171311,-95.509604 30.171537,-95.509744 30.171636,-95.509911 30.171750,-95.510292 30.171982,-95.510668 30.172197,-95.511126 30.172431,-95.511564 30.172626,-95.512125 30.172910,-95.512397 30.173048,-95.512571 30.173142,-95.512862 30.173279,-95.513284 30.173490,-95.513540 30.173634,-95.514044 30.173865,-95.514260 30.173954,-95.515415 30.174493,-95.516167 30.174792,-95.516949 30.175118)
0	12	134	434	0	0	0	0	0.0	6.8	0.0	0	0	Right	5	871.4	878.2	LINESTRING(-95.516949 30.175118,-95.516621 30.175739)
0	13	434	288	0	0	0	0	0.0	9.6	0.0	0	0	Straight	0	878.2	887.8	LINESTRING(-95.516621 30.175739,-95.516559 30.175856,-95.516266 30.176227,-95.515869 30.176602)
0	14	288	287	0	0	0	0	0.0	0.4	0.0	0	0	Straight	0	887.8	888.2	LINESTRING(-95.515869 30.176602,-95.515836 30.176637)
0	15	287	307	0	0	0	0	0.0	5.4	0.0	0	0	Right	5	893.2	898.6	LINESTRING(-95.515836 30.176637,-95.515470 30.176287)
0	16	307	91	1	0	0	0	0.0	0.6	0.0	0	0	Straight	0	898.6	899.2	LINESTRING(-95.515470 30.176287,-95.515428 30.176244)
0	17	91	398	0	0	0	0	0.0	1.8	0.0	0	0	Straight	0	899.2	901.0	LINESTRING(-95.515428 30.176244,-95.515352 30.176178,-95.515278 30.176127)
0	18	398	130	0	0	0	0	0.0	6.1	0.0	0	0	Straight	0	901.0	907.1	LINESTRING(-95.515278 30.176127,-95.515232 30.176095,-95.514987 30.175948,-95.514673 30.175779)
0	19	130	405	0	0	0	0	0.0	5.3	0.0	0	0	Straight	0	907.1	912.4	LINESTRING(-95.514673 30.175779,-95.514544 30.175719,-95.514066 30.175550)
0	20	405	261	1	0	0	0	0.0	1.9	0.0	0	0	Straight	0	912.4	914.3	LINESTRING(-95.514066 30.175550,-95.513947 30.175508,-95.513849 30.175487)
0	21	261	253	0	0	0	0	0.0	10.7	0.0	0	0	Straight	0	914.3	925.0	LINESTRING(-95.513849 30.175487,-95.513298 30.175394,-95.512717 30.175384,-95.512539 30.175394)
0	22	253	426	1	0	0	0	0.0	1.1	0.0	0	0	Straight	0	925.0	926.1	LINESTRING(-95.512539 30.175394,-95.512410 30.175403)
0	23	426	254	1	0	0	0	0.0	1.4	0.0	0	0	Straight	0	926.1	927.5	LINESTRING(-95.512410 30.175403,-95.512236 30.175414)
0	24	254	257	0	0	0	0	0.0	1.1	0.0	0	0	Straight	0	927.5	928.6	LINESTRING(-95.512236 30.175414,-95.512101 30.175424)
0	25	257	408	0	0	0	0	0.0	8.4	0.0	0	0	Straight	0	928.6	937.0	LINESTRING(-95.512101 30.175424,-95.511208 30.175456,-95.511088 30.175465)
0	26	408	351	0	0	0	0	0.0	7.3	0.0	0	0	Straight	0	937.0	944.3	LINESTRING(-95.511088 30.175465,-95.510627 30.175498)
0	27	351	397	0	0	0	0	0.0	2.6	0.0	0	0	Right	5	949.3	951.9	LINESTRING(-95.510627 30.175498,-95.510610 30.175357)
0	28	397	195	0	0	0	0	0.0	5.4	0.0	0	0	Straight	0	951.9	957.3	LINESTRING(-95.510610 30.175357,-95.510581 30.175104,-95.510533 30.174998)
0	29	195	198	1	1	270	675	0.0	30.4	105.4	0	0	Straight	0	957.3	987.7	LINESTRING(-95.510533 30.174998,-95.510488 30.174918,-95.510343 30.174724,-95.510112 30.174493,-95.509769 30.174238,-95.509368 30.173991)
0	30	198	194	1	1	216	540	0.0	43.1	103.1	1	0	Right	5	992.7	1095.8	LINESTRING(-95.509368 30.173991,-95.509677 30.173510,-95.509742 30.173451,-95.509824 30.173419,-95.509873 30.173419,-95.509929 30.173439,-95.510488 30.173787)
0	31	194	193	1	1	108	270	0.0	6.0	36.0	0	0	Straight	0	1095.8	1101.8	LINESTRING(-95.510488 30.173787,-95.510559 30.173787,-95.510585 30.173794,-95.510613 30.173809,-95.510621 30.173829,-95.510619 30.173855,-95.510604 30.173885)
0	32	193	194	1	1	108	270	0.0	6.0	36.0	1	0	U	125	1226.8	1262.8	LINESTRING(-95.510604 30.173885,-95.510619 30.173855,-95.510621 30.173829,-95.510613 30.173809,-95.510585 30.173794,-95.510559 30.173787,-95.510488 30.173787)
0	33	194	198	1	1	216	540	0.0	43.1	103.1	0	0	Straight	0	1262.8	1305.9	LINESTRING(-95.510488 30.173787,-95.509929 30.173439,-95.509873 30.173419,-95.509824 30.173419,-95.509742 30.173451,-95.509677 30.173510,-95.509368 30.173991)
0	34	198	199	0	0	0	0	0.0	15.3	0.0	0	0	Right	5	1310.9	1326.2	LINESTRING(-95.509368 30.173991,-95.509137 30.173867,-95.508697 30.173553)
0	35	199	20	0	0	0	0	0.0	6.2	0.0	0	0	Right	5	1331.2	1337.4	LINESTRING(-95.508697 30.173553,-95.508766 30.173444)
0	36	20	197	1	1	270	675	0.0	29.1	104.1	0	0	Straight	0	1337.4	1366.5	LINESTRING(-95.508766 30.173444,-95.509039 30.173016,-95.509382 30.172669,-95.509553 30.172559,-95.509636 30.172529,-95.509672 30.172530)
0	37	197	39	1	1	396	990	0.0	42.7	152.7	0	0	Straight	0	1366.5	1409.2	LINESTRING(-95.509672 30.172530,-95.509730 30.172544,-95.509807 30.172566,-95.510950 30.173142,-95.511496 30.173414)
0	38	39	196	0	0	0	0	0.0	5.0	0.0	0	0	Straight	0	1409.2	1414.2	LINESTRING(-95.511496 30.173414,-95.511569 30.173450,-95.511627 30.173506,-95.511646 30.173581)
0	39	196	38	0	1	18	45	0.0	5.0	10.0	1	0	Straight	0	1414.2	1424.2	LINESTRING(-95.511646 30.173581,-95.511630 30.173633,-95.511550 30.173789)
0	40	38	195	0	1	126	315	0.0	35.3	70.3	1	0	Straight	0	1424.2	1494.5	LINESTRING(-95.511550 30.173789,-95.511280 30.174310,-95.511101 30.174660,-95.511078 30.174715,-95.511001 30.174829,-95.510940 30.174882,-95.510805 30.174937,-95.510533 30.174998)
0	41	195	397	0	1	18	45	0.0	5.7	10.7	1	0	Left	25	1519.5	1530.2	LINESTRING(-95.510533 30.174998,-95.510581 30.175104,-95.510610 30.175357)
0	42	397	351	0	0	0	0	0.0	4.4	0.0	0	0	Straight	0	1530.2	1534.6	LINESTRING(-95.510610 30.175357,-95.510627 30.175498)
0	43	351	437	0	0	0	0	0.0	5.7	0.0	0	0	Right	5	1539.6	1545.3	LINESTRING(-95.510627 30.175498,-95.510303 30.175481,-95.510167 30.175454)
0	44	437	332	0	1	36	90	0.0	10.6	20.6	0	0	Straight	0	1545.3	1555.9	LINESTRING(-95.510167 30.175454,-95.509850 30.175367,-95.509335 30.175119,-95.509214 30.175045)
0	45	332	331	0	0	0	0	0.0	1.7	0.0	0	0	Straight	0	1555.9	1557.6	LINESTRING(-95.509214 30.175045,-95.509078 30.174958)
0	46	331	401	0	1	90	225	0.0	9.7	34.7	0	0	Straight	0	1557.6	1567.3	LINESTRING(-95.509078 30.174958,-95.508697 30.174707,-95.508429 30.174484,-95.508322 30.174381)
0	47	401	291	0	1	126	315	0.0	23.9	58.9	0	0	Straight	0	1567.3	1591.2	LINESTRING(-95.508322 30.174381,-95.508241 30.174303,-95.507957 30.174094,-95.507775 30.173979,-95.507609 30.173909,-95.507287 30.173798,-95.506938 30.173733,-95.506756 30.173733,-95.506469 30.173756,-95.506163 30.173807,-95.506069 30.173828)
0	48	291	106	0	0	0	0	0.0	3.0	0.0	0	0	Straight	0	1591.2	1594.2	LINESTRING(-95.506069 30.173828,-95.505945 30.173830,-95.505794 30.173888)
0	49	106	348	0	0	0	0	0.0	13.0	0.0	0	0	Right	5	1599.2	1612.2	LINESTRING(-95.505794 30.173888,-95.505718 30.173720,-95.505687 30.173558,-95.505702 30.173431,-95.505737 30.173254)
0	50	348	200	0	1	126	315	0.0	29.5	64.5	1	0	Right	5	1617.2	1681.7	LINESTRING(-95.505737 30.173254,-95.506248 30.173201,-95.506412 30.173165,-95.506737 30.173059,-95.506930 30.172981,-95.507094 30.172892,-95.507193 30.172828,-95.507234 30.172792)
0	51	200	216	0	1	36	90	0.0	16.5	26.5	1	0	Right	5	1686.7	1713.2	LINESTRING(-95.507234 30.172792,-95.507508 30.172949,-95.507660 30.173027,-95.508029 30.173160)
0	52	216	199	1	1	90	225	0.0	14.8	39.8	0	0	Straight	0	1713.2	1728.0	LINESTRING(-95.508029 30.173160,-95.508129 30.173198,-95.508335 30.173295,-95.508623 30.173494,-95.508697 30.173553)
0	53	199	198	0	1	72	180	0.0	16.2	36.2	1	0	Straight	0	1728.0	1764.2	LINESTRING(-95.508697 30.173553,-95.509137 30.173867,-95.509368 30.173991)
0	54	198	195	1	1	270	675	0.0	30.4	105.4	1	0	Straight	0	1764.2	1869.6	LINESTRING(-95.509368 30.173991,-95.509769 30.174238,-95.510112 30.174493,-95.510343 30.174724,-95.510488 30.174918,-95.510533 30.174998)
0	55	195	38	0	1	180	450	0.0	37.4	87.4	1	0	Left	25	1894.6	1982.0	LINESTRING(-95.510533 30.174998,-95.510805 30.174937,-95.510940 30.174882,-95.511001 30.174829,-95.511078 30.174715,-95.511101 30.174660,-95.511280 30.174310,-95.511550 30.173789)
0	56	38	196	0	1	36	90	0.0	5.3	15.3	1	0	Straight	0	1982.0	1997.3	LINESTRING(-95.511550 30.173789,-95.511630 30.173633,-95.511646 30.173581)
0	57	196	39	0	1	36	90	0.0	5.3	15.3	1	0	Straight	0	1997.3	2012.6	LINESTRING(-95.511646 30.173581,-95.511627 30.173506,-95.511569 30.173450,-95.511496 30.173414)
0	58	39	197	1	1	396	990	0.0	42.7	152.7	1	0	Straight	0	2012.6	2165.3	LINESTRING(-95.511496 30.173414,-95.510950 30.173142,-95.509807 30.172566,-95.509730 30.172544,-95.509672 30.172530)
0	59	197	20	1	1	270	675	0.0	29.1	104.1	1	0	Straight	0	2165.3	2269.4	LINESTRING(-95.509672 30.172530,-95.509636 30.172529,-95.509553 30.172559,-95.509382 30.172669,-95.509039 30.173016,-95.508766 30.173444)
0	60	20	199	0	0	0	0	0.0	5.0	0.0	0	0	Straight	0	2269.4	2274.4	LINESTRING(-95.508766 30.173444,-95.508697 30.173553)
0	61	199	216	1	1	90	225	0.0	14.8	39.8	1	0	Right	5	2279.4	2319.2	LINESTRING(-95.508697 30.173553,-95.508623 30.173494,-95.508335 30.173295,-95.508129 30.173198,-95.508029 30.173160)
0	62	216	218	0	1	90	225	0.0	43.8	68.8	1	0	Right	5	2324.2	2393.0	LINESTRING(-95.508029 30.173160,-95.508649 30.172204)
