Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	35200	48000	2	37344.9	28384.9	10.622	0.644	1	0.101865	625.231	47509.9	0.921743	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	498	117	0	0	0	0	0.0	784.3	0.0	0	0		0	0.0	784.3	-90.453251 38.613293999999996,-90.451767 38.612762000000004,-90.451636 38.612773000000004,-90.45146 38.612815999999995,-90.450718 38.613096,-90.450464 38.613192,-90.449457 38.616066000000004,-90.449474 38.617754000000005,-90.449424 38.619487,-90.448442 38.619485,-90.447724 38.619485999999995,-90.446295 38.619482000000005,-90.445954 38.619481,-90.445853 38.619479,-90.445373 38.619474,-90.445025 38.61947,-90.444731 38.619466,-90.444458 38.619462999999996,-90.444276 38.619461,-90.44414 38.619460000000004,-90.443225 38.619451999999995,-90.442806 38.619447,-90.442494 38.619448,-90.442233 38.619456,-90.442029 38.619506,-90.44186 38.619102,-90.441618 38.618579,-90.441455 38.618263,-90.441213 38.617857,-90.439914 38.616067,-90.439861 38.616001,-90.438115 38.613665,-90.437837 38.613749999999996,-90.437516 38.613884,-90.437265 38.613993,-90.437175 38.614146000000005,-90.438544 38.615789,-90.439205 38.616595000000004,-90.439322 38.616741000000005,-90.439857 38.617428000000004,-90.440578 38.618556,-90.441262 38.619937,-90.441283 38.619995,-90.441564 38.620881,-90.442182 38.62265,-90.44265 38.62483,-90.442994 38.626577999999995,-90.443021 38.626718,-90.44305 38.626856000000004,-90.443058 38.626906000000005,-90.443083 38.627002000000005,-90.443214 38.627668,-90.443782 38.630474,-90.44383 38.63071,-90.443897 38.631044,-90.44437 38.633365,-90.445051 38.636713,-90.445102 38.636973999999995,-90.445237 38.637663,-90.445703 38.640097,-90.446327 38.643181999999996,-90.446475 38.643834999999996,-90.446573 38.644282000000004,-90.446612 38.644461,-90.446662 38.644693000000004,-90.446952 38.646108,-90.447057 38.646633,-90.4471 38.646861,-90.447371 38.648183,-90.447487 38.64886,-90.447557 38.649178,-90.447787 38.650163,-90.448163 38.651977,-90.44825 38.652378999999996,-90.449167 38.656931,-90.449179 38.656997000000004,-90.449192 38.657061999999996,-90.449206 38.657145,-90.449324 38.657779000000005,-90.449776 38.660041,-90.449821 38.660292,-90.44985 38.660457,-90.449923 38.660956,-90.450329 38.664228,-90.450488 38.665902,-90.450588 38.666889,-90.450618 38.667221,-90.450643 38.667465,-90.450827 38.669432,-90.450877 38.669925,-90.451225 38.673624000000004,-90.451502 38.676651,-90.451588 38.677576,-90.451625 38.677963,-90.451628 38.678011999999995,-90.451638 38.678106,-90.451663 38.678371999999996,-90.451671 38.678508,-90.451768 38.679421000000005,-90.451978 38.681607,-90.451924 38.683828,-90.451982 38.684399,-90.452002 38.684753,-90.452226 38.686887,-90.452234 38.687009,-90.452342 38.687782999999996,-90.45235 38.687829,-90.452444 38.688426,-90.452539 38.689029000000005,-90.452578 38.689334,-90.452609 38.68952,-90.452655 38.689812,-90.452851 38.6909,-90.452933 38.6913,-90.453025 38.691808,-90.453129 38.692425,-90.453193 38.692754,-90.453354 38.693585,-90.453434 38.693934,-90.453504 38.694226,-90.453613 38.694680000000005,-90.453632 38.694775,-90.453656 38.694871,-90.453903 38.696189000000004,-90.454064 38.697009,-90.454157 38.697475,-90.454218 38.697773,-90.45426 38.697933,-90.454796 38.700676,-90.454859 38.700946,-90.454986 38.701530000000005,-90.455161 38.702386000000004,-90.455299 38.703109999999995,-90.455377 38.703672,-90.455508 38.704684,-90.455538 38.704925,-90.45563 38.705681999999996,-90.455671 38.706125,-90.455702 38.706485,-90.455729 38.70673,-90.455736 38.706815,-90.455745 38.706907,-90.455705 38.706998,-90.455332 38.707347,-90.454927 38.707411,-90.454775 38.707435000000004,-90.454372 38.707499999999996,-90.454263 38.707518,-90.453706 38.707546,-90.453292 38.707569,-90.452662 38.707605,-90.452191 38.707631,-90.451388 38.707702,-90.450912 38.707761000000005
0	1	117	360	0	0	0	0	0.0	8.2	0.0	0	0	Straight	0	784.3	792.5	-90.450912 38.707761000000005,-90.449854 38.707863
0	2	360	462	0	0	0	0	0.0	2.4	0.0	0	0	Straight	0	792.5	794.9	-90.449854 38.707863,-90.449566 38.707891000000004
0	3	462	114	0	0	0	0	0.0	3.9	0.0	0	0	Straight	0	794.9	798.8	-90.449566 38.707891000000004,-90.449061 38.70794
0	4	114	113	0	0	0	0	0.0	1.6	0.0	0	0	Straight	0	798.8	800.4	-90.449061 38.70794,-90.448858 38.707953
0	5	113	331	0	0	0	0	0.0	1.0	0.0	0	0	Straight	0	800.4	801.4	-90.448858 38.707953,-90.448724 38.707964000000004
0	6	331	153	0	0	0	0	0.0	7.9	0.0	0	0	Straight	0	801.4	809.3	-90.448724 38.707964000000004,-90.447745 38.708045
0	7	153	133	0	1	126	315	0.0	29.9	64.9	1	0	Straight	0	809.3	874.2	-90.447745 38.708045,-90.447528 38.708066,-90.446603 38.708134,-90.445698 38.708169,-90.443873 38.708184
0	8	133	122	0	0	0	0	0.0	7.9	0.0	0	0	Right	5	879.2	887.1	-90.443873 38.708184,-90.443847 38.707589999999996
0	9	122	131	0	0	0	0	0.0	14.3	0.0	0	0	Straight	0	887.1	901.4	-90.443847 38.707589999999996,-90.443831 38.707466,-90.443814 38.707357,-90.443786 38.707238000000004,-90.443744 38.707127,-90.443675 38.707007000000004,-90.443586 38.706933
0	10	131	144	1	1	18	45	0.0	6.5	11.5	1	0	Straight	0	901.4	912.9	-90.443586 38.706933,-90.443544 38.706833,-90.443409 38.706604,-90.443178 38.706311
0	11	144	21	0	1	36	90	0.0	5.1	15.1	1	0	Straight	0	912.9	928.0	-90.443178 38.706311,-90.443071 38.706210999999996,-90.442955 38.706102,-90.442763 38.705938
0	12	21	19	0	1	36	90	0.0	13.0	23.0	1	0	Right	5	933.0	956.0	-90.442763 38.705938,-90.443111 38.705489,-90.44317 38.705405,-90.443398 38.705197,-90.443412 38.70519
0	13	19	147	0	1	234	585	0.0	52.2	117.2	1	0	Straight	0	956.0	1073.2	-90.443412 38.70519,-90.443669 38.705067,-90.443819 38.705004,-90.444082 38.704949,-90.446062 38.704958000000005
0	14	147	20	1	1	216	540	0.0	13.4	73.4	1	0	Straight	0	1073.2	1146.6	-90.446062 38.704958000000005,-90.446835 38.704983
0	15	20	147	1	1	216	540	0.0	13.4	73.4	0	0	U	125	1271.6	1285.0	-90.446835 38.704983,-90.446062 38.704958000000005
0	16	147	19	0	1	216	540	0.0	39.1	99.1	1	0	Straight	0	1285.0	1384.1	-90.446062 38.704958000000005,-90.444082 38.704949,-90.443819 38.705004,-90.443669 38.705067,-90.443412 38.70519
0	17	19	18	1	1	162	405	0.0	37.6	82.6	1	0	Right	5	1389.1	1471.7	-90.443412 38.70519,-90.443276 38.705061,-90.44321 38.705006999999995,-90.442916 38.704827
0	18	18	19	1	1	162	405	0.0	37.6	82.6	0	0	U	125	1596.7	1634.3	-90.442916 38.704827,-90.44321 38.705006999999995,-90.443276 38.705061,-90.443412 38.70519
0	19	19	21	0	0	0	0	0.0	16.3	0.0	0	0	Right	5	1639.3	1655.6	-90.443412 38.70519,-90.443398 38.705197,-90.44317 38.705405,-90.443111 38.705489,-90.442763 38.705938
0	20	21	142	1	1	108	270	0.0	6.6	36.6	1	0	Right	5	1660.6	1697.2	-90.442763 38.705938,-90.442701 38.705884999999995,-90.442466 38.705724000000004,-90.442282 38.705599,-90.442125 38.705473
0	21	142	140	0	1	90	225	0.0	15.3	40.3	1	0	Straight	0	1697.2	1737.5	-90.442125 38.705473,-90.441985 38.705313000000004,-90.441865 38.705132,-90.441762 38.704954,-90.441713 38.704819,-90.441685 38.704721,-90.441667 38.704578,-90.441659 38.704505,-90.441653 38.704392999999996,-90.44166 38.704253,-90.441669 38.704156999999995,-90.441692 38.704028,-90.441718 38.70393
